galaxy,split,formula_family,n_points,rmse_tpg_v6,rmse_mond,rmse_matched_family,rmse_wrong_family_mean,best_family,matched_family_rank,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared,matched_minus_wrong_mean,matched_minus_tpg_v6,matched_minus_mond,matched_beats_wrong_mean,matched_beats_tpg_v6,matched_beats_mond
NGC2915,train,K_scale_tail_spiral,30,26.00786566771677,20.629433034344654,24.355227088760625,26.416772447496992,K_scale_tail_spiral,1,25.276724486252586,24.355227088760625,25.695753793717316,28.277839062521075,-2.0615453587363675,-1.6526385789561466,3.725794054415971,True,True,False
NGC2955,train,K_compact_finite,24,19.782113998497127,23.273161362253415,20.82049903713675,19.81172794001993,K_thick_flared,3,20.82049903713675,21.103928666898238,19.994578880128444,18.336676273033113,1.0087710971168171,1.0383850386396212,-2.452662325116666,False,False,True
NGC2976,train,K_thick_flared,27,5.11693008193194,5.678104979086942,3.4732659440310547,6.264952766856337,K_thick_flared,1,6.966404408836451,6.424111255495544,5.4043426362370175,3.4732659440310547,-2.791686822825282,-1.6436641379008856,-2.204839035055887,True,True,True
NGC2998,train,K_thick_flared,13,27.11504519134483,27.07347466768693,27.777797728133002,26.327013888097877,K_compact_finite,4,24.739583986214868,27.183574250451652,27.057883427627107,27.777797728133002,1.4507838400351254,0.6627525367881724,0.7043230604460717,False,False,False
NGC3109,train,K_scale_tail_spiral,25,9.323880057063088,5.041785679362137,7.6102870883518525,9.874365073056618,K_scale_tail_spiral,1,8.839373776164011,7.6102870883518525,9.040752118627758,11.74296932437809,-2.264077984704765,-1.713592968711235,2.5685014089897154,True,True,False
NGC3198,train,K_thick_flared,43,7.704000492040528,11.179050056995646,7.458752406959998,8.348045867403249,K_thick_flared,1,9.209665739835568,8.083931434242555,7.750540428131622,7.458752406959998,-0.889293460443251,-0.2452480850805303,-3.720297650035648,True,True,True
NGC3521,train,K_thick_flared,41,7.110920589361769,6.814883835390855,8.283046338864118,6.701028571214106,K_compact_finite,4,6.503389960602613,6.574688790093703,7.025006962946002,8.283046338864118,1.5820177676500116,1.1721257495023485,1.4681625034732626,False,False,False
NGC3741,train,K_scale_tail_spiral,21,7.821498388140469,2.7212527031991094,6.061876944668627,8.469653914710007,K_scale_tail_spiral,1,7.6059694440968775,6.061876944668627,7.579910176015896,10.223082124017246,-2.40777697004138,-1.7596214434718425,3.3406242414695173,True,True,False
NGC3769,train,K_thick_flared,12,11.2553126000523,15.980528592616563,9.805988333866832,12.254944789143297,K_thick_flared,1,13.081199164910615,12.210260038018076,11.473375164501197,9.805988333866832,-2.4489564552764644,-1.4493242661854673,-6.174540258749731,True,True,True
NGC3877,train,K_thick_flared,13,22.419419150236873,23.91875443404216,21.392539965603895,23.11594009782991,K_thick_flared,1,23.43469839295777,23.33646075789065,22.57666114264131,21.392539965603895,-1.7234001322260148,-1.0268791846329783,-2.5262144684382655,True,True,True
NGC3893,train,K_thick_flared,10,7.421761571780209,6.883534927974165,8.81254422337452,7.094361162852418,K_scale_tail_spiral,4,7.476323801722687,6.585048121133746,7.221711565700818,8.81254422337452,1.7181830605221018,1.3907826515943107,1.9290092954003546,False,False,False
